,Name,Institution1,Institution2
1762,Seema  Jayachandran ,"Department of Economics, Northwestern University, Evanston, Illinois (USA)",
1763,Giuseppe  Moscarini ,"Economics Department, Yale University, New Haven, Connecticut (USA)",
1764,Alessandra  Casella ,"Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",
1765,John O. Ledyard ,"Division of Social Sciences, California Institute of Technology, Pasadena, California (USA)",
1766,Stephen Geoffrey Donald ,"Department of Economics, University of Texas-Austin, Austin, Texas (USA)",
1767,Matthieu  Bussiere ,"Banque de France, Paris, France",
1768,Derek A. Neal ,"Department of Economics, University of Chicago, Chicago, Illinois (USA)",
1769,Jose Manuel Campa ,"IESE Business School, Universidad de Navarra, Barcelona, Spain",
1770,Scott  Schuh ,"Economic Research, Federal Reserve Bank of Boston, Boston, Massachusetts (USA)",
1771,Andrew Alan Samwick ,"Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",
1772,Reint Eberhard Gropp ,"Leibniz-Institut für Wirtschaftsforschung Halle (IWH), Halle, Germany",
1773,James  Harrigan ,"Department of Economics, University of Virginia, Charlottesville, Virginia (USA)",
1774,Thomas K. Bauer ,"RWI - Leibniz-Institut für Wirtschaftsforschung, Essen, Germany",
1775,P. Dean  Corbae ,"Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",
1776,Geert  Ridder ,"Department of Economics, University of Southern California, Los Angeles, California (USA)",
1777,Jack M. Mintz ,"School of Public Policy, University of Calgary, Calgary, Canada",
1778,Adam  Szeidl ,"Department of Economics and Business, Central European University, Budapest, Hungary",
1779,Markus  Brückner ,"Research School of Economics, College of Business and Economics, Australian National University, Canberra, Australia",
1780,Catalina  Amuedo-Dorantes ,"Department of Economics, University of California-Merced, Merced, California (USA)",
1781,Brian Davern Wright ,"Department of Agricultural and Resource Economics, University of California-Berkeley, Berkeley, California (USA)",
1782,Ruud Aloysius de Mooij ,"International Monetary Fund (IMF), Washington, District of Columbia (USA)",
1783,Cesar A. Calderon ,"World Bank Group, Washington, District of Columbia (USA)",
1784,P. Jean-Jacques  Herings ,"Vakgroep Algemene Economie, School of Business and Economics, Maastricht University, Maastricht, Netherlands",
1785,Jean  Boivin ,"Bank of Canada, Ottawa, Canada",
1786,M. Kabir  Hassan ,"Department of Economics and Finance, College of Business and Administration, University of New Orleans, New Orleans, Louisiana (USA)",
1787,Carl Benedikt  Frey ,,
1788,Jesus  Gonzalo ,"Departamento de Economía, Universidad Carlos III de Madrid, Madrid, Spain",
1789,Marcel  Boyer ,"Département de Sciences Économiques, Université de Montréal, Montréal, Canada",
1790,Guido  Menzio ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
1791,Robert H. Rasche †,,
1792,Bernard  Fortin ,"Département d'Économique, Université Laval, Québec, Canada",
1793,Sushil  Bikhchandani ,"Anderson Graduate School of Management, University of California-Los Angeles (UCLA), Los Angeles, California (USA)",
1794,Chris  Starmer ,"School of Economics, University of Nottingham, Nottingham, United Kingdom","Centre for Decision Research and Experimental Economics (CeDEx), School of Economics, University of Nottingham, Nottingham, United Kingdom"
1795,Duncan K. Foley ,"Department of Economics, New School for Social Research, The New School, New York City, New York (USA)",
1796,Eric  Verhoogen ,"School of International and Public Affairs (SIPA), Columbia University, New York City, New York (USA)",
1797,Balázs  Égert ,"Economics Department, Organisation de Coopération et de Développement Économiques (OCDE), Paris, France",
1798,Eric  Maurin ,"Paris School of Economics, Paris, France",
1799,Michael  McCracken ,"Research Division, Federal Reserve Bank of St. Louis, St. Louis, Missouri (USA)",
1800,Gabriel  Rodríguez ,"Departamento de Economía, Pontificia Universidad Católica del Perú, Lima, Peru",
1801,John Allan Weymark ,"Department of Economics, Vanderbilt University, Nashville, Tennessee (USA)",
1802,Morris  Goldstein ,"Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",
1803,Bhaskar  Dutta ,"Economics, Ashoka University, Sonepat, India",
1804,Luis M. Viceira ,"Finance Unit, Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)",
1805,Panicos O. Demetriades ,"Department of Economics, Leicester University, Leicester, United Kingdom",
1806,Joep  Sonnemans ,"Centre for Research in Experimental Economics and Political Decision-Making (CREED), Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam, Amsterdam, Netherlands",
1807,Brian G. Knight ,"Economics Department, Brown University, Providence, Rhode Island (USA)",
1808,Masao  Ogaki ,"Faculty of Economics, Keio University, Tokyo, Japan",
1809,Maria Soledad Martinez Peria ,"Economics Research, World Bank Group, Washington, District of Columbia (USA)",
1810,Gunther  Schnabl ,"Institut für Wirtschaftspolitik, Wirtschaftswissenschafltiche Fakultät, Universität Leipzig, Leipzig, Germany",
1811,René  Garcia ,"Département de Sciences Économiques, Université de Montréal, Montréal, Canada",
1812,Emmanuel  Skoufias ,"World Bank Group, Washington, District of Columbia (USA)",
1813,Geoffrey J. D. Hewings ,"Regional Economics Applications Laboratory (REAL), University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",
1814,Janet L. Yellen ,"Economic Analysis &amp; Policy Group (EAP), Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)","Federal Reserve Board (Board of Governors of the Federal Reserve System), Washington, District of Columbia (USA)"
1815,Frank Allen Sloan ,"Department of Economics, Duke University, Durham, North Carolina (USA)",
1816,Joachim Klaus Winter ,"Volkswirtschaftliche Fakultät, Ludwig-Maximilians-Universität München, München, Germany",
1817,Andrea Filippo Presbitero ,"International Monetary Fund (IMF), Washington, District of Columbia (USA)",
1818,Robert Jack MacCulloch ,"Business School, University of Auckland, Auckland, New Zealand","Motu: Economic &amp; Public Policy Research, Wellington, New Zealand"
1819,Efraim  Sadka ,"Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel",
1820,Roger  Koenker ,"Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",
1821,Inkoo  Cho ,"Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)",
1822,Neil R. Ericsson ,"Federal Reserve Board (Board of Governors of the Federal Reserve System), Washington, District of Columbia (USA)",
1823,Christian  Hansen ,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
1824,Dale  Jorgenson ,"Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",
1825,Gabriel  Perez Quiros ,"Banco de España, Madrid, Spain","European Central Bank, Frankfurt am Main, Germany"
1826,Kristian  Behrens ,"Département des Sciences Économiques, École des Sciences de la Gestion (ESG), Université du Québec à Montréal (UQAM), Montréal, Canada",
1827,Eleonora  Patacchini ,"Istituto Einaudi per l'Economia e la Finanza (EIEF), Roma, Italy",
1828,Pablo T. Spiller ,"Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",
1829,Dirk  Czarnitzki ,"Faculteit Economie en Bedrijfswetenschappen, KU Leuven, Leuven, Belgium","Onderzoekseenheid Bedrijfseconomie, Strategie en Innovatie, Faculteit Economie en Bedrijfswetenschappen, KU Leuven, Leuven, Belgium"
1830,Henri L.F. de Groot ,"Afdeling Ruimtelijke Economie, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",
1831,James M. Nason ,"Department of Economics, Poole College of Management, North Carolina State University, Raleigh, North Carolina (USA)",
1832,Susan K. Laury ,"Experimental Economics Center, Department of Economics, Andrew Young School of Policy Studies, Georgia State University, Atlanta, Georgia (USA)",
1833,Gadi  Barlevy ,"Federal Reserve Bank of Chicago, Chicago, Illinois (USA)","Institute of Labor Economics (IZA), Bonn, Germany"
1834,Nirvikar  Singh ,"Economics Department, University of California-Santa Cruz (UCSC), Santa Cruz, California (USA)",
1835,Inmaculada  Martínez-Zarzoso ,"Wirtschaftswissenschaftliche Fakultät, Georg-August-Universität Göttingen, Göttingen, Germany",
1836,Cédric  Tille ,"International Economics Section, The Graduate Institute of International and Development Studies, Genève, Switzerland",
1837,Hyungsik Roger Moon ,"Department of Economics, University of Southern California, Los Angeles, California (USA)",
1838,Jessica A. Wachter ,"Finance Department, Wharton School of Business, University of Pennsylvania, Philadelphia, Pennsylvania (USA)",
1839,Walter  Bossert ,"Département de Sciences Économiques, Université de Montréal, Montréal, Canada","Centre Interuniversitaire de Recherche en Économie Quantitative (CIREQ), Montréal, Canada"
1840,Xin  Meng ,"Research School of Economics, College of Business and Economics, Australian National University, Canberra, Australia",
1841,A. Mitchell  Polinsky ,"Stanford Institute for Economic Policy Research (SIEPR), Stanford University, Stanford, California (USA)",
1842,Kurt  Annen ,,
1843,Brent  Neiman ,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
1844,Konstantin  Sonin ,"Harris School of Public Policy, University of Chicago, Chicago, Illinois (USA)",
1845,Karl E. Case II†,,
1846,Jacob  Vigdor ,"Evans School of Public Policy and Governance, University of Washington, Seattle, Washington (USA)",
1847,Alex  Coad ,"Escuela de Postgrado de Negocios (CENTRUM), Pontificia Universidad Católica del Perú, Lima, Peru",
1848,Avi  Goldfarb ,"Rotman School of Management, University of Toronto, Toronto, Canada",
1849,Uta  Schoenberg ,"Department of Economics, University College London (UCL), London, United Kingdom",
1850,Philipp  Schnabl ,"Stern School of Business, New York University (NYU), New York City, New York (USA)",
1851,Rajeev K. Goel ,"Department of Economics, Illinois State University, Normal, Illinois (USA)",
1852,Stephen  Parente ,"Department of Economics, University of Illinois at Urbana-Champaign, Urbana-Champaign, Illinois (USA)","Centro Ricerche Nord Sud (CRENoS), Italy"
1853,Charles Richard Bean ,"Economics Department, London School of Economics (LSE), London, United Kingdom",
1854,Bernd  Fitzenberger ,"Wirtschaftswissenschaftliche Fakultät, Humboldt-Universität Berlin, Berlin, Germany",
1855,Joseph E. Gagnon ,"Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",
1856,James Jinwoo Choi ,"School of Management, Yale University, New Haven, Connecticut (USA)",
1857,Hali  Edison ,"International Monetary Fund (IMF), Washington, District of Columbia (USA)",
1858,Federico  Etro ,"Dipartimento di Scienze per l'Economia e l'Impresa, Scuola di Economia e Management, Università degli Studi di Firenze, Firenze, Italy",
1859,Scott L. Baier ,"John E. Walker Department of Economics, College of Business and Behavioral Science, Clemson University, Clemson, South Carolina (USA)",
1860,Steven G. Rivkin ,"Department of Economics, University of Illinois at Chicago, Chicago, Illinois (USA)",
1861,Eiji  Yamamura ,"Department of Economics, Seinan Gakuin University, Fukuoka, Japan",
1862,Daniel  Aaronson ,"Federal Reserve Bank of Chicago, Chicago, Illinois (USA)",
1863,Jason  Fletcher ,"Robert M. La Follette School of Public Affairs, University of Wisconsin-Madison, Madison, Wisconsin (USA)",
1864,Paul  Gregg ,"Department of Social and Policy Studies, University of Bath, Bath, United Kingdom","Centre for the Analysis of Social Policy (CASP), University of Bath, Bath, United Kingdom"
1865,Susan Marie Dynarski ,"National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)","Gerald R. Ford School of Public Policy, University of Michigan, Ann Arbor, Michigan (USA)"
1866,Karl  Whelan ,"School of Economics, University College Dublin, Dublin, Ireland",
1867,Jae  Song ,"Social Security Adminsitration, Government of the United States, Washington, District of Columbia (USA)",
1868,Wallace E. Huffman ,"Department of Economics, Iowa State University, Ames, Iowa (USA)",
1869,Chris  Doucouliagos ,"Department of Economics, Business School, Deakin University, Melbourne, Australia",
1870,Jan  Potters ,"CentER for Economic Research, School of Economics and Management, Universiteit van Tilburg, Tilburg, Netherlands",
1871,Daniel  Lederman ,"Economics Research, World Bank Group, Washington, District of Columbia (USA)",
1872,Uzi  Segal ,"Department of Economics, Boston College, Chestnut Hill, Massachusetts (USA)",
1873,Patrick  Francois ,"Vancouver School of Economics, University of British Columbia, Vancouver, Canada",
1874,John F. Nash Jr.†,,
1875,Jordi  Brandts ,"Institut d'Anàlisi Econòmica CSIC (IAE-CSIC), Barcelona Graduate School of Economics (Barcelona GSE), Barcelona, Spain",
1876,Anders  Bjorklund ,"Institutet för Social Forskning (SOFI), Stockholms Universitet, Stockholm, Sweden",
1877,Bruno  Crépon ,"Centre de Recherche en Économie et Statistique (CREST), France",
1878,Gabrielle  Demange ,"Paris School of Economics, Paris, France",
1879,Alessandro  Pavan ,"Department of Economics, Northwestern University, Evanston, Illinois (USA)",
1880,Inessa  Love ,"Department of Economics, University of Hawaii-Manoa, Manoa, Hawaii (USA)",
1881,John Karl Scholz ,"Economics Department, University of Wisconsin-Madison, Madison, Wisconsin (USA)",
1882,James B. Ang ,"Division of Economics, Nanyang Technological University, Singapore, Singapore",
1883,Gilbert W. Bassett Jr.,"Department of Finance, College of Business Administration, University of Illinois at Chicago, Chicago, Illinois (USA)",
